customer_id,first_sku_id,first_order_date,second_sku_id,second_order_date,total_orders_lifetime,ltv_90d,is_repeat_customer
CUST000001,SKU0002,2024-08-30,SKU0017,2024-12-07,2,1740.6,True
CUST000002,SKU0270,2024-03-17,SKU0025,2024-09-25,6,989.1,True
CUST000004,SKU0271,2024-10-06,,,1,751.0,False
CUST000007,SKU0044,2024-02-12,SKU0024,2025-03-13,2,4066.0,True
CUST000008,SKU0040,2024-09-19,SKU0054,2025-08-23,2,995.35,True
CUST000009,SKU0010,2024-11-16,,,1,680.0,False
CUST000010,SKU0048,2024-08-21,,,1,894.6,False
CUST000011,SKU0003,2024-07-22,SKU0047,2025-03-20,5,789.65,True
CUST000012,SKU0013,2025-01-09,SKU0009,2025-05-18,3,612.85,True
CUST000013,SKU0035,2024-07-25,SKU0040,2024-10-18,3,4336.55,True
CUST000014,SKU0048,2025-04-28,SKU0050,2025-08-08,3,795.2,True
CUST000015,SKU0042,2024-03-24,SKU0032,2025-06-09,3,687.8,True
CUST000016,SKU0274,2025-07-22,,,1,1347.3,False
CUST000017,SKU0131,2024-01-29,SKU0032,2025-08-07,2,426.7,True
CUST000018,SKU0261,2025-05-07,,,1,202.5,False
CUST000019,SKU0134,2025-02-23,SKU0034,2025-05-13,2,1314.75,True
CUST000021,SKU0034,2024-05-02,SKU0012,2025-06-23,2,323.85,True
CUST000022,SKU0032,2024-12-29,,,1,990.0,False
CUST000023,SKU0036,2024-11-27,SKU0046,2025-03-17,4,1240.15,True
CUST000026,SKU0031,2025-12-01,SKU0043,2025-12-31,2,1780.4,True
CUST000027,SKU0054,2024-02-09,SKU0146,2025-03-16,3,4284.0,True
CUST000028,SKU0055,2024-04-20,SKU0115,2024-08-07,3,720.1,True
CUST000029,SKU0014,2024-06-14,SKU0032,2024-10-04,3,2995.35,True
CUST000030,SKU0053,2024-05-23,SKU0235,2024-05-31,4,2833.7,True
CUST000031,SKU0049,2024-11-21,SKU0045,2024-11-27,4,2226.0,True
CUST000032,SKU0025,2024-12-25,,,1,2646.0,False
CUST000033,SKU0038,2024-07-18,SKU0025,2025-10-02,2,924.8,True
