order_id,order_date,customer_id,sku_id,channel,units_sold,selling_price,discount_pct,return_flag
ORD0000030,2024-05-10,CUST001490,SKU0004,Offline,1,1063.35,0.15,True
ORD0000050,2025-07-30,CUST036262,SKU0012,Offline,2,871.2,0.2,True
ORD0000055,2024-03-01,CUST003180,SKU0044,Nykaa,2,963.0,0.1,True
ORD0000056,2025-02-26,CUST009898,SKU0210,D2C Website,2,1075.0,0.0,True
ORD0000058,2024-01-17,CUST034696,SKU0013,Nykaa,1,721.0,0.0,True
ORD0000067,2024-02-03,CUST013577,SKU0010,Amazon,3,680.0,0.0,True
ORD0000070,2025-12-06,CUST028646,SKU0268,D2C Website,4,596.7,0.1,True
ORD0000144,2024-04-25,CUST000791,SKU0021,Offline,2,816.05,0.05,True
ORD0000151,2025-03-23,CUST005651,SKU0195,Offline,2,755.65,0.15,True
ORD0000156,2024-09-26,CUST029832,SKU0015,Amazon,1,991.95,0.15,True
ORD0000166,2025-07-13,CUST026873,SKU0113,D2C Website,1,467.2,0.2,True
ORD0000171,2025-06-01,CUST037213,SKU0050,D2C Website,2,553.0,0.0,True
ORD0000186,2025-05-25,CUST018336,SKU0048,Amazon,1,894.6,0.1,True
ORD0000190,2024-01-31,CUST030913,SKU0015,Amazon,2,875.25,0.25,True
ORD0000210,2025-12-04,CUST001316,SKU0011,D2C Website,2,803.7,0.1,True
ORD0000220,2024-09-26,CUST006338,SKU0128,D2C Website,1,564.3,0.05,True
ORD0000234,2025-05-01,CUST019862,SKU0037,D2C Website,3,357.75,0.25,True
ORD0000246,2024-05-15,CUST016541,SKU0215,Amazon,2,311.95,0.15,True
ORD0000266,2025-06-30,CUST021117,SKU0054,Nykaa,1,1428.0,0.0,True
ORD0000281,2025-11-16,CUST006639,SKU0175,Offline,2,807.0,0.25,True
ORD0000284,2024-04-07,CUST009070,SKU0006,Nykaa,3,532.8,0.2,True
ORD0000290,2025-05-14,CUST017146,SKU0044,Nykaa,1,1070.0,0.0,True
ORD0000317,2025-06-19,CUST003710,SKU0032,D2C Website,1,660.0,0.0,True
ORD0000341,2024-01-18,CUST004145,SKU0037,Nykaa,1,429.3,0.1,True
ORD0000349,2024-07-04,CUST035970,SKU0030,Amazon,1,247.35,0.15,True
ORD0000393,2024-12-12,CUST025501,SKU0029,Offline,2,819.4,0.15,True
ORD0000395,2024-09-26,CUST025188,SKU0027,Offline,1,1069.7,0.05,True
ORD0000400,2024-12-27,CUST004497,SKU0055,Offline,1,682.2,0.1,True
ORD0000408,2025-02-26,CUST017259,SKU0001,D2C Website,1,162.4,0.3,True
ORD0000442,2025-01-09,CUST034297,SKU0267,Nykaa,1,1336.5,0.1,True
ORD0000443,2024-05-19,CUST032240,SKU0029,Offline,1,915.8,0.05,True
ORD0000462,2024-12-12,CUST010088,SKU0047,Nykaa,2,939.4,0.3,True
ORD0000472,2024-07-25,CUST025468,SKU0252,Nykaa,1,491.0,0.0,True
ORD0000473,2025-06-22,CUST014466,SKU0003,Amazon,1,789.65,0.15,True
ORD0000476,2024-02-29,CUST004613,SKU0272,Nykaa,1,242.4,0.2,True
ORD0000485,2025-06-14,CUST014542,SKU0043,D2C Website,3,1004.0,0.0,True
ORD0000487,2025-08-07,CUST023309,SKU0003,D2C Website,1,696.75,0.25,True
ORD0000489,2025-02-13,CUST021280,SKU0238,Nykaa,1,883.15,0.15,True
ORD0000507,2025-11-15,CUST011163,SKU0197,D2C Website,2,544.0,0.15,True
ORD0000508,2024-07-24,CUST000547,SKU0098,D2C Website,2,784.0,0.2,True
ORD0000558,2024-07-25,CUST019680,SKU0002,Amazon,1,821.95,0.15,True
ORD0000575,2025-11-18,CUST036676,SKU0139,Amazon,1,237.0,0.0,True
ORD0000587,2025-07-15,CUST013648,SKU0005,Nykaa,1,401.0,0.0,True
