customer_id,first_sku_id,first_order_date,second_sku_id,second_order_date,total_orders_lifetime,ltv_90d
CUST000001,SKU0002,2024-08-30,SKU0017,2024-12-07,2,1740.6
CUST000002,SKU0270,2024-03-17,SKU0025,2024-09-25,6,989.1
CUST000004,SKU0271,2024-10-06,,,1,751.0
CUST000007,SKU0044,2024-02-12,SKU0024,2025-03-13,2,4066.0
CUST000008,SKU0040,2024-09-19,SKU0054,2025-08-23,2,995.35
CUST000009,SKU0010,2024-11-16,,,1,680.0
CUST000010,SKU0048,2024-08-21,,,1,894.6
CUST000011,SKU0003,2024-07-22,SKU0047,2025-03-20,5,789.65
CUST000012,SKU0013,2025-01-09,SKU0009,2025-05-18,3,612.85
CUST000013,SKU0035,2024-07-25,SKU0040,2024-10-18,3,4336.55
CUST000014,SKU0048,2025-04-28,SKU0050,2025-08-08,3,795.2
CUST000015,SKU0042,2024-03-24,SKU0032,2025-06-09,3,687.8
CUST000016,SKU0274,2025-07-22,,,1,1347.3
CUST000017,SKU0131,2024-01-29,SKU0032,2025-08-07,2,426.7
CUST000018,SKU0261,2025-05-07,,,1,202.5
CUST000019,SKU0134,2025-02-23,SKU0034,2025-05-13,2,1314.75
CUST000021,SKU0034,2024-05-02,SKU0012,2025-06-23,2,323.85
CUST000022,SKU0032,2024-12-29,,,1,990.0
CUST000023,SKU0036,2024-11-27,SKU0046,2025-03-17,4,1240.15
CUST000026,SKU0031,2025-12-01,SKU0043,2025-12-31,2,1780.4
CUST000027,SKU0054,2024-02-09,SKU0146,2025-03-16,3,4284.0
CUST000028,SKU0055,2024-04-20,SKU0115,2024-08-07,3,720.1
CUST000029,SKU0014,2024-06-14,SKU0032,2024-10-04,3,2995.35
CUST000030,SKU0053,2024-05-23,SKU0235,2024-05-31,4,2833.7
CUST000031,SKU0049,2024-11-21,SKU0045,2024-11-27,4,2226.0
CUST000032,SKU0025,2024-12-25,,,1,2646.0
CUST000033,SKU0038,2024-07-18,SKU0025,2025-10-02,2,924.8
CUST000034,SKU0062,2024-01-08,SKU0050,2024-12-01,4,1473.75
CUST000035,SKU0126,2024-01-29,SKU0025,2024-04-30,3,780.75
CUST000036,SKU0051,2024-10-24,SKU0008,2024-10-25,3,3320.0
CUST000037,SKU0060,2024-10-07,,,1,1366.4
CUST000038,SKU0011,2025-10-09,,,1,759.05
CUST000039,SKU0049,2024-11-07,SKU0056,2025-08-11,3,1057.5
CUST000040,SKU0268,2024-02-14,,,1,530.4
CUST000041,SKU0043,2024-03-02,SKU0044,2025-04-06,3,1004.0
CUST000042,SKU0019,2024-04-12,,,1,1030.75
CUST000043,SKU0001,2024-01-19,SKU0012,2024-03-17,5,1200.5
CUST000044,SKU0030,2024-04-08,SKU0056,2024-11-09,5,247.35
CUST000045,SKU0005,2024-02-23,SKU0260,2025-10-20,2,761.9
CUST000046,SKU0163,2025-02-11,SKU0056,2025-09-25,4,4793.6
CUST000047,SKU0001,2024-05-14,SKU0056,2024-05-29,3,540.0
CUST000049,SKU0012,2025-09-03,,,1,2450.25
CUST000050,SKU0278,2025-06-21,,,1,582.0
CUST000051,SKU0201,2024-01-21,SKU0113,2025-06-29,4,659.0
CUST000052,SKU0074,2025-02-03,SKU0032,2025-05-18,4,2373.0
CUST000053,SKU0030,2024-04-02,SKU0037,2024-06-17,3,886.8
CUST000055,SKU0005,2025-09-20,,,1,340.85
CUST000056,SKU0198,2024-07-16,SKU0250,2024-08-21,3,1564.25
CUST000057,SKU0051,2024-05-21,SKU0060,2025-06-22,2,525.0
CUST000058,SKU0025,2024-10-10,SKU0021,2025-03-03,3,1470.0
CUST000059,SKU0010,2025-03-14,SKU0035,2025-08-02,3,1224.0
CUST000060,SKU0215,2024-04-05,,,1,825.75
CUST000061,SKU0009,2024-08-13,SKU0120,2025-09-27,3,1048.8
CUST000062,SKU0021,2024-01-07,SKU0054,2024-07-19,4,1374.4
CUST000063,SKU0035,2024-05-20,,,1,874.3
CUST000065,SKU0013,2024-09-05,SKU0203,2025-11-01,2,2163.0
CUST000066,SKU0043,2024-02-22,SKU0038,2024-04-11,5,1882.8
CUST000068,SKU0003,2024-09-19,SKU0010,2025-08-06,4,789.65
CUST000069,SKU0045,2024-05-23,SKU0192,2024-07-06,5,6535.6
CUST000070,SKU0047,2025-06-28,SKU0048,2025-08-05,3,3988.5
CUST000071,SKU0025,2024-04-05,SKU0025,2025-10-11,4,2499.0
CUST000072,SKU0049,2024-03-08,SKU0169,2024-06-02,5,3381.6
CUST000074,SKU0028,2025-03-17,,,1,605.2
CUST000075,SKU0261,2025-02-02,SKU0067,2025-07-19,3,382.5
CUST000076,SKU0025,2024-03-11,SKU0010,2024-07-02,4,4704.0
CUST000077,SKU0011,2024-06-25,SKU0011,2025-06-18,3,803.7
CUST000078,SKU0028,2025-09-15,,,1,302.6
CUST000079,SKU0024,2024-02-22,SKU0079,2025-10-19,3,575.4
CUST000080,SKU0051,2024-06-22,SKU0005,2025-03-17,4,446.25
CUST000081,SKU0001,2025-03-16,SKU0131,2025-04-01,2,1201.2
CUST000082,SKU0128,2024-07-02,SKU0035,2024-12-24,2,594.0
CUST000083,SKU0040,2024-05-15,SKU0084,2025-08-22,2,3337.35
CUST000084,SKU0044,2024-10-08,SKU0005,2025-05-11,2,1926.0
CUST000085,SKU0065,2024-01-29,,,1,595.0
CUST000086,SKU0063,2024-09-06,SKU0030,2024-09-12,4,1356.4
CUST000087,SKU0033,2024-03-31,SKU0054,2025-09-19,2,649.8
CUST000088,SKU0129,2024-08-31,SKU0001,2025-03-04,3,820.8
CUST000089,SKU0050,2024-11-27,,,1,553.0
CUST000090,SKU0012,2025-02-19,,,1,3267.0
CUST000091,SKU0053,2024-01-11,SKU0009,2024-04-20,5,930.4
CUST000092,SKU0036,2024-07-16,SKU0052,2024-12-22,4,2772.1
CUST000093,SKU0086,2024-07-17,SKU0059,2024-12-11,5,2001.6
CUST000094,SKU0078,2024-01-18,SKU0016,2025-09-22,3,1362.3
CUST000095,SKU0001,2024-10-28,SKU0054,2025-07-12,2,661.2
CUST000096,SKU0014,2024-11-08,SKU0047,2025-02-28,3,945.9
CUST000097,SKU0042,2024-01-03,SKU0016,2024-07-21,4,2751.2
CUST000098,SKU0034,2024-05-28,SKU0037,2025-01-30,2,381.0
CUST000099,SKU0013,2024-12-23,SKU0049,2025-10-23,3,2163.0
CUST000100,SKU0001,2024-02-05,SKU0230,2024-07-19,3,394.4
CUST000101,SKU0040,2024-01-10,,,1,936.8
CUST000103,SKU0057,2024-06-30,SKU0139,2025-03-06,6,1465.0
CUST000105,SKU0068,2024-05-20,SKU0045,2025-06-18,2,1066.0
CUST000106,SKU0014,2024-02-11,SKU0014,2024-06-11,3,893.35
CUST000107,SKU0043,2024-09-16,SKU0235,2024-09-23,2,3533.1
CUST000108,SKU0229,2024-02-29,SKU0050,2025-02-08,2,600.75
CUST000109,SKU0049,2024-05-02,SKU0104,2024-06-12,5,4265.25
CUST000110,SKU0178,2024-06-21,SKU0035,2024-11-14,3,292.5
CUST000111,SKU0028,2024-04-17,SKU0036,2024-05-19,3,2363.0
CUST000112,SKU0056,2024-07-05,SKU0043,2025-07-14,3,377.6
CUST000113,SKU0098,2024-07-31,SKU0215,2025-10-18,2,882.0
CUST000114,SKU0034,2024-12-11,SKU0030,2025-07-13,2,361.95
CUST000115,SKU0113,2024-07-11,SKU0038,2024-12-13,6,525.6
CUST000116,SKU0004,2024-05-31,SKU0089,2024-09-23,3,1188.45
CUST000117,SKU0008,2024-03-01,SKU0176,2024-10-09,2,1710.0
CUST000118,SKU0227,2025-04-14,,,1,295.0
CUST000119,SKU0134,2024-05-28,SKU0045,2025-11-16,2,770.7
CUST000120,SKU0031,2024-04-17,SKU0052,2025-12-25,2,489.25
CUST000121,SKU0039,2024-02-17,,,1,320.0
CUST000122,SKU0025,2024-05-24,SKU0001,2025-01-16,4,1249.5
CUST000123,SKU0211,2025-01-07,SKU0054,2025-07-25,2,941.8
CUST000124,SKU0151,2024-11-26,SKU0033,2025-11-05,2,1412.8
CUST000125,SKU0044,2024-07-27,SKU0045,2024-11-14,2,909.5
CUST000126,SKU0249,2024-02-26,SKU0025,2024-07-23,3,484.5
CUST000127,SKU0250,2024-11-13,SKU0259,2025-08-02,3,2046.4
CUST000129,SKU0025,2024-01-20,SKU0129,2025-03-10,2,2940.0
CUST000130,SKU0237,2024-02-14,SKU0055,2025-03-27,3,740.8
CUST000131,SKU0029,2024-06-24,SKU0046,2025-10-02,3,867.6
CUST000132,SKU0014,2024-11-14,SKU0229,2025-05-11,2,945.9
CUST000134,SKU0269,2024-09-26,SKU0040,2025-01-22,5,1355.0
CUST000135,SKU0067,2024-10-20,SKU0246,2025-06-14,3,908.1
CUST000136,SKU0054,2024-02-05,SKU0005,2025-03-23,2,2427.6
CUST000137,SKU0033,2024-09-23,,,1,1444.0
CUST000138,SKU0010,2024-04-02,SKU0259,2025-04-03,2,1734.0
CUST000139,SKU0010,2024-06-24,SKU0042,2024-09-19,3,1195.6
CUST000141,SKU0265,2024-01-31,,,1,784.8
CUST000143,SKU0005,2025-10-11,,,1,1022.55
CUST000145,SKU0259,2024-11-06,,,1,1052.8
CUST000146,SKU0189,2025-04-13,,,1,489.6
CUST000147,SKU0146,2024-04-30,SKU0186,2025-05-20,3,794.2
CUST000148,SKU0011,2025-03-19,,,1,803.7
CUST000150,SKU0030,2025-05-22,SKU0001,2025-09-09,2,261.9
